"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"56","2020-03-05"," 9:17:00 AM","2020-03-05"," 10:45:00 AM","","","","","","","23.42","-247.50"
"56.1","2020-03-05"," 9:17:00 AM","2020-03-05"," 10:45:00 AM","PE","11300","Buy","25","39.40","33.85","","-138.75"
"56.2","2020-03-05"," 9:17:00 AM","2020-03-05"," 9:20:00 AM","PE","11250","Sell","25","21.75","26.10","","-108.75"
"57","2020-03-12"," 9:17:00 AM","2020-03-12"," 10:57:00 AM","","","","","","","30.20","4963.75"
"57.1","2020-03-12"," 9:17:00 AM","2020-03-12"," 10:57:00 AM","PE","9950","Buy","25","8.45","208.45","","5000.00"
"57.2","2020-03-12"," 9:17:00 AM","2020-03-12"," 9:18:00 AM","PE","9900","Sell","25","7.30","8.75","","-36.25"
"58","2020-03-19"," 9:17:00 AM","2020-03-19"," 9:18:00 AM","","","","","","","63.68","-151.25"
"58.1","2020-03-19"," 9:17:00 AM","2020-03-19"," 9:18:00 AM","PE","8000","Buy","25","113.15","107.10","","-151.25"
"58.2","2020-03-19"," 9:17:00 AM","2020-03-19"," 9:18:00 AM","PE","7950","Sell","25","104.70","104.70","","0.00"
"59","2020-03-26"," 9:17:00 AM","2020-03-26"," 3:15:00 PM","","","","","","","78.82","2630.00"
"59.1","2020-03-26"," 9:17:00 AM","2020-03-26"," 9:24:00 AM","PE","8350","Buy","25","159.75","127.80","","-798.75"
"59.2","2020-03-26"," 9:17:00 AM","2020-03-26"," 3:15:00 PM","PE","8300","Sell","25","137.45","0.30","","3428.75"
"60","2020-04-01"," 9:17:00 AM","2020-04-01"," 1:37:00 PM","","","","","","","63.79","4618.75"
"60.1","2020-04-01"," 9:17:00 AM","2020-04-01"," 1:37:00 PM","PE","8500","Buy","25","100.65","300.65","","5000.00"
"60.2","2020-04-01"," 9:17:00 AM","2020-04-01"," 9:33:00 AM","PE","8450","Sell","25","76.20","91.45","","-381.25"
"61","2020-04-09"," 9:17:00 AM","2020-04-09"," 9:25:00 AM","","","","","","","50.94","-361.25"
"61.1","2020-04-09"," 9:17:00 AM","2020-04-09"," 9:21:00 AM","PE","8950","Buy","25","103.85","83.10","","-518.75"
"61.2","2020-04-09"," 9:17:00 AM","2020-04-09"," 9:25:00 AM","PE","8900","Sell","25","78.20","71.90","","157.50"
"62","2020-04-16"," 9:17:00 AM","2020-04-16"," 9:34:00 AM","","","","","","","49.17","-331.25"
"62.1","2020-04-16"," 9:17:00 AM","2020-04-16"," 9:34:00 AM","PE","8900","Buy","25","90.40","90.50","","2.50"
"62.2","2020-04-16"," 9:17:00 AM","2020-04-16"," 9:20:00 AM","PE","8850","Sell","25","66.80","80.15","","-333.75"
"63","2020-04-23"," 9:17:00 AM","2020-04-23"," 3:15:00 PM","","","","","","","42.56","852.50"
"63.1","2020-04-23"," 9:17:00 AM","2020-04-23"," 9:19:00 AM","PE","9200","Buy","25","76.35","61.10","","-381.25"
"63.2","2020-04-23"," 9:17:00 AM","2020-04-23"," 3:15:00 PM","PE","9150","Sell","25","49.55","0.20","","1233.75"
"64","2020-04-30"," 9:17:00 AM","2020-04-30"," 3:15:00 PM","","","","","","","32.82","546.25"
"64.1","2020-04-30"," 9:17:00 AM","2020-04-30"," 9:26:00 AM","PE","9750","Buy","25","60.40","48.30","","-302.50"
