"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"23.2","2019-07-18"," 9:17:00 AM","2019-07-18"," 9:18:00 AM","PE","11450","Buy","25","0.20","0.10","","-2.50"
"23.3","2019-07-18"," 9:17:00 AM","2019-07-18"," 12:03:00 PM","CE","11750","Sell","25","0.95","0.25","","17.50"
"23.4","2019-07-18"," 9:17:00 AM","2019-07-18"," 12:03:00 PM","PE","11550","Sell","25","0.55","0.30","","6.25"
"24","2019-07-25"," 9:17:00 AM","2019-07-25"," 11:23:00 AM","","","","","","","13.36","98.75"
"24.1","2019-07-25"," 9:17:00 AM","2019-07-25"," 9:18:00 AM","CE","11500","Buy","25","0.25","0.20","","-1.25"
"24.2","2019-07-25"," 9:17:00 AM","2019-07-25"," 9:21:00 AM","PE","11100","Buy","25","0.40","0.30","","-2.50"
"24.3","2019-07-25"," 9:17:00 AM","2019-07-25"," 11:23:00 AM","CE","11400","Sell","25","0.75","1.30","","-13.75"
"24.4","2019-07-25"," 9:17:00 AM","2019-07-25"," 11:23:00 AM","PE","11200","Sell","25","5.50","0.85","","116.25"
"25","2019-08-01"," 9:17:00 AM","2019-08-01"," 12:11:00 PM","","","","","","","14.02","-101.25"
"25.1","2019-08-01"," 9:17:00 AM","2019-08-01"," 9:18:00 AM","CE","11250","Buy","25","0.35","0.30","","-1.25"
"25.2","2019-08-01"," 9:17:00 AM","2019-08-01"," 9:18:00 AM","PE","10850","Buy","25","0.70","0.55","","-3.75"
"25.3","2019-08-01"," 9:17:00 AM","2019-08-01"," 12:11:00 PM","CE","11150","Sell","25","3.25","0.25","","75.00"
"25.4","2019-08-01"," 9:17:00 AM","2019-08-01"," 12:11:00 PM","PE","10950","Sell","25","5.45","12.30","","-171.25"
"26","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:31:00 AM","","","","","","","15.63","-128.75"
"26.1","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:19:00 AM","CE","11100","Buy","25","0.55","0.45","","-2.50"
"26.2","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:18:00 AM","PE","10700","Buy","25","0.80","0.65","","-3.75"
"26.3","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:31:00 AM","CE","11000","Sell","25","3.55","1.60","","48.75"
"26.4","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:31:00 AM","PE","10800","Sell","25","5.55","12.40","","-171.25"
"27","2019-08-14"," 9:17:00 AM","2019-08-14"," 10:23:00 AM","","","","","","","16.67","-191.25"
"27.1","2019-08-14"," 9:17:00 AM","2019-08-14"," 9:18:00 AM","CE","11150","Buy","25","0.80","0.65","","-3.75"
"27.2","2019-08-14"," 9:17:00 AM","2019-08-14"," 10:20:00 AM","PE","10750","Buy","25","0.45","0.35","","-2.50"
"27.3","2019-08-14"," 9:17:00 AM","2019-08-14"," 10:23:00 AM","CE","11050","Sell","25","6.60","16.95","","-258.75"
"27.4","2019-08-14"," 9:17:00 AM","2019-08-14"," 10:23:00 AM","PE","10850","Sell","25","5.80","2.85","","73.75"
"28","2019-08-22"," 9:17:00 AM","2019-08-22"," 11:20:00 AM","","","","","","","17.23","-212.50"
"28.1","2019-08-22"," 9:17:00 AM","2019-08-22"," 9:20:00 AM","CE","11100","Buy","25","0.75","0.60","","-3.75"
"28.2","2019-08-22"," 9:17:00 AM","2019-08-22"," 9:18:00 AM","PE","10700","Buy","25","0.80","0.65","","-3.75"
"28.3","2019-08-22"," 9:17:00 AM","2019-08-22"," 11:20:00 AM","CE","11000","Sell","25","4.85","0.75","","102.50"
"28.4","2019-08-22"," 9:17:00 AM","2019-08-22"," 11:20:00 AM","PE","10800","Sell","25","7.40","19.70","","-307.50"
"29","2019-08-29"," 9:17:00 AM","2019-08-29"," 12:32:00 PM","","","","","","","16.54","-161.25"
